user_id,credit_limit,avg_repayment_time,transaction_success_rate,response_speed,discount_hit_rate,commission_acceptance_rate,user_rating,default_count,record_timestamp
IND10001,139705,17.75,0.9184,237.7,0.3498,0.8543,1,0,2024-07-01 09:13:00
IND10001,141513,28.3,0.8511,16.69,0.5936,0.82,5,0,2024-07-03 17:27:00
IND10001,145280,2.89,0.9955,251.41,0.3593,0.7545,2,0,2024-07-05 19:06:00
IND10001,144471,6.2,0.9526,137.64,0.2915,0.8486,5,0,2024-07-07 19:41:00
IND10001,143831,21.34,0.9093,278.73,0.7455,0.798,5,0,2024-07-09 20:55:00
IND10001,141817,28.1,0.8914,95.92,0.324,0.7047,4,0,2024-07-11 12:09:00
IND10001,140110,13.13,0.9494,100.4,0.5901,0.864,5,0,2024-07-14 11:28:00
IND10001,140514,28.12,0.8756,28.86,0.9117,0.9897,2,0,2024-07-17 17:01:00
IND10001,137818,9.89,0.967,183.09,0.5344,0.73,1,0,2024-07-24 12:15:00
IND10001,146425,3.94,0.8988,122.72,0.4035,0.9486,1,0,2024-07-25 20:10:00
IND10002,156625,3.35,0.9455,101.16,0.5814,0.9723,4,0,2024-07-03 16:18:00
IND10002,154631,15.11,0.8747,164.89,0.5636,0.9077,3,0,2024-07-03 21:14:00
IND10002,158454,2.61,0.8798,216.29,0.7926,0.8818,3,1,2024-07-04 09:24:00
IND10002,156321,14.94,0.8927,20.7,0.6572,0.8508,3,0,2024-07-06 13:22:00
IND10002,158556,29.24,0.9807,243.06,0.3399,0.9678,5,0,2024-07-07 19:04:00
IND10002,151498,29.41,0.9831,146.94,0.2897,0.914,5,0,2024-07-09 20:02:00
IND10002,151866,39.11,0.9435,105.96,0.2477,0.7933,1,0,2024-07-12 21:22:00
IND10002,149430,42.55,0.8985,160.45,0.7273,0.8091,1,2,2024-07-13 12:29:00
IND10002,156152,12.15,0.8884,21.73,0.733,0.7333,4,0,2024-07-18 09:59:00
IND10002,158488,7.25,0.9034,272.98,0.4041,0.8943,1,0,2024-07-22 11:49:00
IND10002,155659,25.21,0.8805,283.43,0.6491,0.9084,5,1,2024-07-29 21:23:00
IND10003,109639,23.88,0.9454,82.63,0.6424,0.9937,4,0,2024-07-05 12:08:00
IND10003,108045,8.91,0.9323,210.65,0.689,0.7673,3,0,2024-07-07 18:31:00
IND10003,111778,42.28,0.8706,108.91,0.2851,0.9774,5,1,2024-07-08 18:20:00
IND10003,111371,37.14,0.9333,163.6,0.3814,0.7279,1,1,2024-07-08 21:02:00
IND10003,112242,16.58,0.9024,220.53,0.8728,0.9661,3,0,2024-07-13 12:04:00
IND10003,111630,32.58,0.9714,111.11,0.2721,0.9822,4,0,2024-07-13 12:59:00
IND10003,110015,5.48,0.9054,80.23,0.8024,0.8411,1,1,2024-07-20 18:10:00
IND10003,110939,41.06,0.8859,52.02,0.5671,0.9957,3,0,2024-07-23 22:43:00
IND10003,111371,37.92,0.8981,64.09,0.2306,0.8773,5,0,2024-07-24 11:10:00
IND10003,112028,23.24,0.8768,116.28,0.7581,0.9163,4,0,2024-07-29 22:41:00
IND10003,106732,8.95,0.9848,185.86,0.2069,0.7304,2,0,2024-07-30 17:56:00
IND10004,160683,5.51,0.8508,192.09,0.3457,0.7213,5,0,2024-07-03 14:24:00
IND10004,153027,41.92,0.9142,290.33,0.9227,0.9559,4,0,2024-07-12 11:08:00
IND10004,160974,14.07,0.8536,197.19,0.3328,0.9821,5,2,2024-07-14 22:37:00
IND10004,161130,40.12,0.8541,177.87,0.5289,0.9016,5,0,2024-07-15 16:16:00
IND10004,152947,10.21,0.8903,150.73,0.4795,0.8184,5,1,2024-07-16 09:48:00
IND10004,155321,20.68,0.9025,197.08,0.7017,0.9593,5,0,2024-07-18 12:47:00
IND10004,154458,16.05,0.9742,88.75,0.9239,0.8372,1,1,2024-07-22 22:34:00
IND10004,156109,32.08,0.8708,48.5,0.9272,0.9144,3,0,2024-07-25 18:21:00
IND10004,160063,7.87,0.9563,170.32,0.4224,0.8259,2,0,2024-07-26 18:27:00
IND10004,155736,25.33,0.893,181.34,0.2229,0.7112,5,1,2024-07-28 08:43:00
IND10004,154700,6.18,0.9423,297.12,0.3051,0.8555,1,1,2024-07-28 09:09:00
IND10005,96268,20.66,0.9098,188.6,0.6763,0.7136,5,0,2024-07-07 10:23:00
IND10005,89677,20.64,0.9616,82.75,0.3383,0.7243,3,0,2024-07-14 10:29:00
IND10005,94579,28.92,0.9731,198.93,0.355,0.7822,3,0,2024-07-16 08:07:00
IND10005,96251,14.04,0.9932,223.99,0.6158,0.8835,3,0,2024-07-17 20:11:00
IND10005,95752,42.14,0.9252,166.42,0.713,0.8848,2,2,2024-07-18 20:59:00
IND10005,90778,19.58,0.876,55.37,0.3877,0.8648,1,0,2024-07-24 22:46:00
IND10005,90988,38.78,0.9555,147.51,0.2734,0.8475,3,0,2024-07-27 18:32:00
IND10005,92220,2.78,0.8642,208.07,0.2534,0.7957,3,1,2024-07-29 21:51:00
IND10005,95150,42.43,0.9363,122.57,0.6825,0.8375,5,0,2024-07-30 08:38:00
IND10005,91994,26.34,0.8738,44.85,0.4564,0.7275,5,0,2024-07-30 09:55:00
IND10006,89259,14.12,0.8677,212.05,0.6717,0.9632,2,0,2024-07-02 11:56:00
IND10006,88117,14.13,0.8766,227.68,0.8051,0.9972,5,0,2024-07-03 09:46:00
IND10006,82318,36.95,0.9921,295.94,0.765,0.8129,4,0,2024-07-04 11:14:00
IND10006,85802,22.15,0.8584,44.46,0.2881,0.8948,5,0,2024-07-08 17:14:00
IND10006,87541,18.25,0.9558,82.13,0.4477,0.8303,1,0,2024-07-11 08:37:00
IND10006,82144,5.13,0.9733,214.81,0.261,0.7255,3,1,2024-07-15 22:33:00
IND10006,81348,43.22,0.9771,112.92,0.9176,0.903,4,0,2024-07-18 10:16:00
IND10006,87754,43.65,0.9532,252.72,0.8502,0.9515,2,0,2024-07-23 12:25:00
IND10006,83867,6.43,0.9854,156.52,0.8198,0.796,5,1,2024-07-25 10:08:00
IND10006,86026,12.75,0.9371,261.46,0.6214,0.7716,4,0,2024-07-27 09:48:00
IND10006,86439,5.58,0.8638,184.71,0.6153,0.7638,5,1,2024-07-28 17:27:00
IND10006,82015,5.92,0.9242,26.69,0.6121,0.8325,2,1,2024-07-30 16:48:00
IND10007,101409,29.06,0.9544,141.82,0.6707,0.8753,3,1,2024-07-03 16:15:00
IND10007,101535,3.86,0.9837,163.03,0.9447,0.7221,2,0,2024-07-03 22:02:00
IND10007,100343,3.13,0.9065,245.06,0.9405,0.7451,1,0,2024-07-04 18:27:00
IND10007,98938,17.19,0.9375,32.54,0.9308,0.9959,5,0,2024-07-05 19:59:00
IND10007,99377,18.9,0.9744,175.03,0.2476,0.711,3,0,2024-07-14 14:29:00
IND10007,102531,14.03,0.9117,184.81,0.4032,0.74,5,0,2024-07-19 15:15:00
IND10007,96572,42.87,0.9835,142.14,0.6651,0.7832,3,0,2024-07-22 15:13:00
IND10007,95623,4.42,0.9797,245.74,0.9498,0.999,1,0,2024-07-22 18:41:00
IND10007,95723,18.12,0.8929,261.89,0.3677,0.989,1,0,2024-07-23 18:03:00
IND10007,100932,19.92,0.9372,276.56,0.2621,0.963,4,0,2024-07-26 14:12:00
IND10008,42785,21.39,0.9866,96.41,0.5927,0.9093,5,0,2024-07-04 08:41:00
IND10008,42712,43.84,0.9403,74.92,0.8163,0.8035,1,0,2024-07-06 14:00:00
IND10008,42824,10.99,0.9369,109.05,0.6029,0.838,2,0,2024-07-06 14:31:00
IND10008,44614,7.97,0.9461,62.75,0.4593,0.969,4,0,2024-07-07 21:25:00
IND10008,44089,39.76,0.9635,23.6,0.4015,0.7067,1,0,2024-07-08 11:12:00
IND10008,43243,22.64,0.9131,237.55,0.6795,0.9415,2,1,2024-07-09 15:15:00
IND10008,42160,42.62,0.9774,81.73,0.5379,0.7387,1,1,2024-07-13 19:21:00
IND10008,39294,24.37,0.9778,170.05,0.6207,0.963,5,0,2024-07-15 10:27:00
IND10008,45405,17.08,0.9385,123.75,0.5281,0.9712,1,0,2024-07-15 20:55:00
IND10008,38661,41.84,0.9238,84.89,0.5444,0.994,5,0,2024-07-27 08:05:00
IND10009,47565,2.32,0.8838,115.95,0.5659,0.9552,5,0,2024-07-03 18:55:00
IND10009,47422,5.74,0.9306,180.18,0.7591,0.8295,5,0,2024-07-06 08:32:00
IND10009,46778,28.58,0.9053,144.14,0.7606,0.711,2,0,2024-07-07 12:13:00
IND10009,45550,26.77,0.9876,11.54,0.9313,0.8472,5,0,2024-07-08 17:38:00
IND10009,45301,5.97,0.9222,209.46,0.5837,0.7471,4,0,2024-07-10 14:44:00
IND10009,41796,40.56,0.862,162.11,0.5078,0.9947,2,0,2024-07-13 09:56:00
IND10009,45702,25.02,0.885,109.45,0.5555,0.8065,1,0,2024-07-19 15:32:00
IND10009,43187,31.55,0.9767,227.39,0.2229,0.9602,1,0,2024-07-19 19:34:00
IND10009,43621,32.89,0.9303,148.22,0.8289,0.7615,1,1,2024-07-20 09:26:00
IND10009,42493,13.91,0.9709,227.0,0.3384,0.7628,5,0,2024-07-22 19:31:00
IND10009,39967,12.43,0.8904,119.41,0.2151,0.7966,1,0,2024-07-24 13:03:00
IND10009,40533,16.51,0.9849,186.19,0.3833,0.8495,1,0,2024-07-28 10:04:00
IND10009,45042,7.19,0.9191,69.84,0.4732,0.851,3,0,2024-07-30 20:50:00
IND10010,198600,37.48,0.878,78.35,0.6753,0.9724,1,0,2024-07-01 15:39:00
IND10010,194030,33.06,0.958,195.93,0.7205,0.8628,5,0,2024-07-01 18:52:00
IND10010,192724,18.88,0.9725,137.35,0.4827,0.8388,5,0,2024-07-04 09:34:00
IND10010,195403,17.88,0.9181,169.09,0.6117,0.7605,3,0,2024-07-07 18:45:00
IND10010,193278,12.95,0.9522,230.47,0.6467,0.8415,3,0,2024-07-08 12:25:00
IND10010,193775,37.55,0.9939,109.33,0.3705,0.8271,5,0,2024-07-10 22:42:00
IND10010,201421,41.84,0.9582,23.95,0.7861,0.9484,4,0,2024-07-11 22:48:00
IND10010,197401,28.66,0.93,269.23,0.7914,0.7455,2,0,2024-07-12 12:10:00
IND10010,196801,20.87,0.9366,113.06,0.4936,0.8596,2,0,2024-07-17 12:08:00
IND10010,195867,24.78,0.9561,232.66,0.2655,0.8518,5,1,2024-07-17 13:59:00
IND10010,197687,6.76,0.977,46.97,0.498,0.9392,3,0,2024-07-20 20:41:00
IND10010,200969,41.97,0.9746,289.86,0.2932,0.9193,2,1,2024-07-22 18:19:00
IND10010,192609,8.15,0.8807,217.08,0.5705,0.9264,4,0,2024-07-27 16:45:00
