user_id,amount,timestamp,merchant_category,city,device_type,payment_method,is_fraud,hour_of_day,day_of_week,transaction_date,device_code,payment_code,city_code,merchant_code
IND10001,23551.27,2024-08-11 06:45:00,Restaurant,Mumbai,Desktop,UPI,0,6,6,2024-08-11,1,0,0,2
IND10001,36747.06,2024-07-26 03:45:00,Jewelry,Delhi,Tablet,Credit Card,1,3,4,2024-07-26,2,1,1,3
IND10001,35190.18,2024-07-30 10:00:00,Clothing,Delhi,Tablet,Credit Card,0,10,1,2024-07-30,2,1,1,6
IND10001,20871.47,2024-07-18 15:45:00,Jewelry,Chennai,Tablet,UPI,1,15,3,2024-07-18,2,0,3,3
IND10001,40001.0,2024-07-26 19:00:00,Electronics,Bengaluru,Mobile,Debit Card,1,19,4,2024-07-26,0,2,2,1
IND10001,4860.07,2024-08-04 16:45:00,Jewelry,Chennai,Desktop,Credit Card,0,16,6,2024-08-04,1,1,3,3
IND10001,29530.22,2024-08-08 12:00:00,Department Store,Mumbai,Mobile,Debit Card,0,12,3,2024-08-08,0,2,0,4
IND10001,36366.14,2024-08-13 05:15:00,Department Store,Bengaluru,Tablet,UPI,0,5,1,2024-08-13,2,0,2,4
IND10001,39652.47,2024-07-27 06:30:00,Electronics,Hyderabad,Tablet,UPI,0,6,5,2024-07-27,2,0,4,1
IND10001,49057.46,2024-08-08 03:30:00,Clothing,Bengaluru,Mobile,Credit Card,0,3,3,2024-08-08,0,1,2,6
IND10001,23901.96,2024-07-15 22:45:00,Electronics,Mumbai,Tablet,Debit Card,1,22,0,2024-07-15,2,2,0,1
IND10002,33309.61,2024-08-08 22:15:00,Restaurant,Mumbai,Mobile,Credit Card,1,22,3,2024-08-08,0,1,0,2
IND10002,15711.77,2024-08-04 07:30:00,Department Store,Mumbai,Mobile,UPI,0,7,6,2024-08-04,0,0,0,4
IND10002,24750.36,2024-07-29 16:15:00,Jewelry,Chennai,Mobile,Credit Card,0,16,0,2024-07-29,0,1,3,3
IND10002,11010.91,2024-07-24 03:15:00,Pharmacy,Hyderabad,Mobile,UPI,0,3,2,2024-07-24,0,0,4,7
IND10002,17100.22,2024-08-09 02:45:00,Grocery Store,Mumbai,Desktop,UPI,0,2,4,2024-08-09,1,0,0,0
IND10002,16643.92,2024-08-09 08:45:00,Department Store,Hyderabad,Tablet,Debit Card,0,8,4,2024-08-09,2,2,4,4
IND10002,46453.77,2024-07-25 06:15:00,Travel Agency,Delhi,Desktop,Debit Card,0,6,3,2024-07-25,1,2,1,5
IND10002,37686.21,2024-08-11 23:45:00,Restaurant,Chennai,Mobile,Debit Card,0,23,6,2024-08-11,0,2,3,2
IND10002,21089.17,2024-08-03 01:45:00,Clothing,Bengaluru,Desktop,UPI,0,1,5,2024-08-03,1,0,2,6
IND10002,43344.35,2024-07-30 13:30:00,Restaurant,Delhi,Desktop,Debit Card,0,13,1,2024-07-30,1,2,1,2
IND10002,49974.66,2024-08-07 05:30:00,Pharmacy,Chennai,Mobile,UPI,0,5,2,2024-08-07,0,0,3,7
IND10002,32180.18,2024-07-27 20:00:00,Jewelry,Mumbai,Mobile,Credit Card,1,20,5,2024-07-27,0,1,0,3
IND10002,7206.93,2024-08-04 09:00:00,Electronics,Delhi,Desktop,Debit Card,0,9,6,2024-08-04,1,2,1,1
IND10002,49026.14,2024-07-15 03:45:00,Electronics,Delhi,Tablet,Debit Card,0,3,0,2024-07-15,2,2,1,1
IND10003,33841.28,2024-08-02 08:00:00,Electronics,Bengaluru,Mobile,Debit Card,1,8,4,2024-08-02,0,2,2,1
IND10003,33324.21,2024-07-26 10:15:00,Grocery Store,Mumbai,Desktop,Debit Card,0,10,4,2024-07-26,1,2,0,0
IND10003,7624.03,2024-08-03 17:15:00,Department Store,Delhi,Tablet,UPI,0,17,5,2024-08-03,2,0,1,4
IND10003,22263.53,2024-08-06 14:45:00,Grocery Store,Bengaluru,Mobile,Debit Card,0,14,1,2024-08-06,0,2,2,0
IND10003,40716.88,2024-07-31 18:15:00,Electronics,Mumbai,Mobile,Credit Card,1,18,2,2024-07-31,0,1,0,1
IND10003,989.74,2024-08-07 22:15:00,Jewelry,Mumbai,Desktop,Debit Card,0,22,2,2024-08-07,1,2,0,3
IND10003,35996.11,2024-07-27 11:30:00,Pharmacy,Delhi,Tablet,Debit Card,0,11,5,2024-07-27,2,2,1,7
IND10003,36719.89,2024-07-18 17:00:00,Clothing,Chennai,Tablet,UPI,0,17,3,2024-07-18,2,0,3,6
IND10003,31998.5,2024-07-31 10:15:00,Travel Agency,Bengaluru,Tablet,Credit Card,1,10,2,2024-07-31,2,1,2,5
IND10003,31778.99,2024-07-24 00:15:00,Travel Agency,Chennai,Tablet,Debit Card,0,0,2,2024-07-24,2,2,3,5
IND10004,33159.55,2024-07-31 16:00:00,Restaurant,Delhi,Desktop,Credit Card,0,16,2,2024-07-31,1,1,1,2
IND10004,49687.51,2024-07-26 01:00:00,Department Store,Hyderabad,Desktop,Credit Card,0,1,4,2024-07-26,1,1,4,4
IND10004,1755.5,2024-07-15 10:00:00,Electronics,Mumbai,Tablet,Credit Card,0,10,0,2024-07-15,2,1,0,1
IND10004,24772.06,2024-08-10 23:30:00,Department Store,Hyderabad,Mobile,Credit Card,0,23,5,2024-08-10,0,1,4,4
IND10004,30628.86,2024-08-02 16:45:00,Pharmacy,Delhi,Desktop,UPI,0,16,4,2024-08-02,1,0,1,7
IND10004,28277.29,2024-08-05 05:30:00,Electronics,Mumbai,Tablet,Credit Card,0,5,0,2024-08-05,2,1,0,1
IND10004,10008.05,2024-08-10 03:15:00,Department Store,Delhi,Mobile,UPI,0,3,5,2024-08-10,0,0,1,4
IND10004,22698.51,2024-07-15 18:15:00,Restaurant,Chennai,Tablet,UPI,0,18,0,2024-07-15,2,0,3,2
IND10004,16526.39,2024-07-19 20:45:00,Department Store,Delhi,Mobile,Credit Card,1,20,4,2024-07-19,0,1,1,4
IND10004,2293.44,2024-08-07 01:00:00,Travel Agency,Chennai,Tablet,UPI,0,1,2,2024-08-07,2,0,3,5
IND10004,26376.84,2024-07-20 13:30:00,Electronics,Mumbai,Mobile,UPI,0,13,5,2024-07-20,0,0,0,1
IND10004,47696.82,2024-08-05 16:00:00,Electronics,Hyderabad,Mobile,UPI,0,16,0,2024-08-05,0,0,4,1
IND10005,30509.27,2024-07-31 19:30:00,Jewelry,Hyderabad,Desktop,UPI,1,19,2,2024-07-31,1,0,4,3
IND10005,24312.78,2024-08-01 15:30:00,Grocery Store,Mumbai,Desktop,Debit Card,0,15,3,2024-08-01,1,2,0,0
IND10005,26889.81,2024-08-03 09:15:00,Department Store,Bengaluru,Desktop,Credit Card,0,9,5,2024-08-03,1,1,2,4
IND10005,47502.2,2024-07-28 09:30:00,Restaurant,Delhi,Tablet,UPI,0,9,6,2024-07-28,2,0,1,2
IND10005,19504.02,2024-07-15 08:00:00,Travel Agency,Mumbai,Desktop,Credit Card,0,8,0,2024-07-15,1,1,0,5
IND10005,2105.43,2024-07-29 04:15:00,Department Store,Delhi,Mobile,Credit Card,0,4,0,2024-07-29,0,1,1,4
